epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2937.54,0.35425,0.29481,0.92078,0.98432,0.99901,0.99443,0.93085,0.39686,0.25708,1.04975,0.000363239,0.000363239,0.000363239
81,2973.6,0.35141,0.30017,0.92479,0.99275,0.99044,0.995,0.93267,0.39001,0.24728,1.04791,0.000346736,0.000346736,0.000346736
82,3010.75,0.33854,0.29711,0.92486,0.99166,0.99403,0.99494,0.9388,0.38454,0.24279,1.05645,0.000330233,0.000330233,0.000330233
83,3044.48,0.33416,0.28169,0.9208,0.99093,0.99418,0.99494,0.93849,0.38209,0.2367,1.05373,0.000313729,0.000313729,0.000313729
84,3077.01,0.32359,0.27651,0.90906,0.99934,0.99498,0.995,0.92824,0.37524,0.24611,1.04115,0.000297226,0.000297226,0.000297226
85,3109.03,0.32768,0.28407,0.90986,0.99095,1,0.99488,0.93592,0.35871,0.22958,1.02598,0.000280723,0.000280723,0.000280723
86,3141.16,0.3356,0.28448,0.91893,0.99861,1,0.995,0.94572,0.35075,0.23161,1.00656,0.00026422,0.00026422,0.00026422
87,3174.31,0.31566,0.27423,0.90591,0.99861,1,0.995,0.95142,0.3529,0.23124,1.00566,0.000247716,0.000247716,0.000247716
88,3207.33,0.31767,0.27195,0.91684,0.99845,0.9959,0.995,0.94336,0.3481,0.22652,1.03185,0.000231213,0.000231213,0.000231213
89,3239.41,0.31003,0.265,0.91063,0.99841,0.99429,0.995,0.94083,0.35154,0.23102,1.02956,0.00021471,0.00021471,0.00021471
90,3271.38,0.29263,0.25549,0.90118,0.99925,0.99418,0.995,0.94618,0.35319,0.22865,1.03427,0.000198206,0.000198206,0.000198206
91,3332.3,0.20504,0.17738,0.8116,0.9983,0.99375,0.99482,0.9354,0.3701,0.23252,1.05021,0.000181703,0.000181703,0.000181703
92,3367.21,0.20499,0.18187,0.80369,0.99726,0.99981,0.995,0.94084,0.37344,0.24238,1.04801,0.0001652,0.0001652,0.0001652
93,3405.54,0.21015,0.17962,0.82254,0.99825,0.99962,0.995,0.94296,0.36593,0.23507,1.0343,0.000148696,0.000148696,0.000148696
94,3443.79,0.20239,0.17394,0.80905,0.99831,0.99505,0.995,0.95218,0.35746,0.22671,1.03171,0.000132193,0.000132193,0.000132193
95,3481.99,0.19992,0.17825,0.81461,0.99865,0.99556,0.995,0.95103,0.34658,0.21963,1.02343,0.00011569,0.00011569,0.00011569
96,3518.59,0.1872,0.16602,0.80695,0.99221,0.99676,0.99494,0.95293,0.34394,0.21636,1.02124,9.91865e-05,9.91865e-05,9.91865e-05
97,3555.23,0.18874,0.17385,0.80671,0.99944,0.99425,0.995,0.95203,0.33696,0.21501,1.018,8.26832e-05,8.26832e-05,8.26832e-05
98,3591.14,0.18604,0.16443,0.80304,0.99775,0.99184,0.995,0.95023,0.33976,0.21342,1.02532,6.61799e-05,6.61799e-05,6.61799e-05
99,3626.88,0.1812,0.16037,0.80718,0.99882,0.98852,0.995,0.95319,0.33514,0.21283,1.02809,4.96766e-05,4.96766e-05,4.96766e-05
100,3664.31,0.17562,0.15854,0.79598,0.99903,0.98837,0.995,0.95305,0.33953,0.20973,1.02789,3.31733e-05,3.31733e-05,3.31733e-05
